Region,Country,Item Type,Sales Channel,Order_Shipped,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue
Europe,Iceland,Meat,Offline,true,3/20/2015,869397771,2975,421.89,364.69,1255122.75
Middle East and North Africa,Qatar,Personal Care,Offline,true,05/06/12,481065833,6925,81.73,56.67,565980.25
Sub-Saharan Africa,South Sudan,Meat,Online,true,9/30/2013,159050118,5319,421.89,364.69,2244032.91
Europe,United Kingdom,Office Supplies,Online,true,5/20/2014,350274455,2850,651.21,524.96,1855948.5
Middle East and North Africa,Tunisia ,Cereal,Online,true,04/09/10,221975171,6241,205.7,117.11,1283773.7
North America,United States of America,Office Supplies,Online,true,06/09/17,811701095,9247,651.21,524.96,6021738.87
Sub-Saharan Africa,Liberia,Cereal,Online,false,02/08/15,977313554,7653,205.7,117.11,1574222.1
Sub-Saharan Africa,Eritrea,Snacks,Offline,false,1/25/2010,546986377,4279,152.58,97.44,652889.82
Asia,South Korea,Fruits,Offline,false,03/07/10,769205892,3972,9.33,6.92,37058.76
Sub-Saharan Africa,Kenya,Clothes,Offline,false,01/03/13,262770926,8611,109.28,35.84,941010.08
Sub-Saharan Africa,Rwanda,Snacks,Online,false,03/06/17,866792809,2109,152.58,97.44,321791.22
Central America and the Caribbean,Cuba,Beverages,Offline,false,01/09/11,890695369,5408,47.45,31.79,256609.6
Middle East and North Africa,Libya,Cereal,Offline,false,3/27/2014,964214932,1480,205.7,117.11,304436
Europe,Czech Republic,Snacks,Online,false,6/28/2013,887400329,332,152.58,97.44,50656.56
Europe,Montenegro,Beverages,Offline,false,09/04/11,980612885,3999,47.45,31.79,189752.55
Europe,Montenegro,Clothes,Offline,false,7/14/2016,734526431,1549,109.28,35.84,169274.72
Asia,Philippines,Baby Food,Online,false,2/23/2014,160127294,4079,255.28,159.42,1041287.12
Central America and the Caribbean,El Salvador,Clothes,Offline,false,08/07/10,238714301,9721,109.28,35.84,1062310.88
Australia and Oceania,Tonga,Household,Online,false,1/14/2013,671898782,8635,668.27,502.54,5770511.45
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,false,9/30/2010,331604564,8014,81.73,56.67,654984.22
Middle East and North Africa,Afghanistan,Cereal,Online,false,10/13/2016,410067975,7081,205.7,117.11,1456561.7
Australia and Oceania,Tuvalu,Snacks,Offline,false,3/16/2011,369837844,2091,152.58,97.44,319044.78
Sub-Saharan Africa,Sudan,Fruits,Online,false,12/26/2012,193775498,1331,9.33,6.92,12418.23
Sub-Saharan Africa,Niger,Clothes,Online,false,09/02/15,835054767,117,109.28,35.84,12785.76
Sub-Saharan Africa,Gabon,Household,Offline,false,11/11/13,167161977,5798,668.27,502.54,3874629.46
Australia and Oceania,East Timor,Vegetables,Offline,false,08/04/14,633895957,2755,154.06,90.93,424435.3
North America,United States of America,Clothes,Offline,false,10/21/2010,699368035,7398,109.28,35.84,808453.44
Middle East and North Africa,Jordan,Vegetables,Offline,false,6/13/2015,698002040,3170,154.06,90.93,488370.2
Europe,Cyprus,Snacks,Offline,false,3/29/2012,584534299,5544,152.58,97.44,845903.52
Sub-Saharan Africa,Malawi,Vegetables,Online,false,6/22/2012,384013640,7025,154.06,90.93,1082271.5
Europe,Iceland,Personal Care,Online,false,05/10/13,641801393,2149,81.73,56.67,175637.77
Middle East and North Africa,Israel,Personal Care,Online,false,12/10/16,173571383,2484,81.73,56.67,203017.32
Middle East and North Africa,United Arab Emirates,Snacks,Offline,false,3/20/2011,115309941,1629,152.58,97.44,248552.82
Asia,China,Cosmetics,Offline,true,9/22/2011,773315894,213,437.2,263.33,93123.6
Sub-Saharan Africa,Kenya,Beverages,Online,true,05/11/12,274200570,897,47.45,31.79,42562.65
Middle East and North Africa,Somalia,Clothes,Offline,true,11/15/2011,414887797,3374,109.28,35.84,368710.72
Australia and Oceania,Tonga,Beverages,Offline,true,1/27/2010,812613904,9367,47.45,31.79,444464.15
Asia,Bangladesh,Baby Food,Online,true,8/17/2011,254927718,7632,255.28,159.42,1948296.96
Middle East and North Africa,Egypt,Beverages,Offline,true,09/06/14,749690568,8954,47.45,31.79,424867.3
Sub-Saharan Africa,Eritrea,Cereal,Offline,true,09/03/14,775076282,1150,205.7,117.11,236555
Sub-Saharan Africa,Swaziland,Office Supplies,Online,false,09/05/15,229571187,4071,651.21,524.96,2651075.91
Asia,Vietnam,Baby Food,Online,true,6/20/2011,881974112,4594,255.28,159.42,1172756.32
Australia and Oceania,Marshall Islands,Snacks,Online,true,01/12/12,521396386,1632,152.58,97.44,249010.56
Asia,Taiwan,Household,Online,true,1/23/2017,607261836,1127,668.27,502.54,753140.29
Europe,Ireland,Vegetables,Online,true,03/04/12,419306790,1052,154.06,90.93,162071.12
Sub-Saharan Africa,Rwanda,Meat,Offline,true,7/18/2010,207580077,6413,421.89,364.69,2705580.57
Europe,Sweden,Snacks,Online,true,04/12/11,742443025,4245,152.58,97.44,647702.1
Sub-Saharan Africa,Gabon,Snacks,Offline,true,10/03/10,164569461,8615,152.58,97.44,1314476.7
Sub-Saharan Africa,South Africa,Baby Food,Online,false,12/29/2013,734945714,5624,255.28,159.42,1435694.72
Europe,United Kingdom,Clothes,Offline,false,9/19/2015,284870612,8399,109.28,35.84,917842.72
Europe,Albania,Fruits,Offline,false,9/17/2011,765955483,2104,9.33,6.92,19630.32
Asia,Malaysia,Snacks,Offline,false,03/11/10,600124156,8929,152.58,97.44,1362386.82
Sub-Saharan Africa,Ghana,Household,Offline,false,11/10/12,529612958,3098,668.27,502.54,2070300.46
Central America and the Caribbean,Cuba,Clothes,Offline,false,2/16/2011,466970717,5867,109.28,35.84,641145.76
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,false,8/13/2012,845058763,522,437.2,263.33,228218.4
Europe,Romania,Snacks,Offline,false,8/28/2014,367050921,7379,152.58,97.44,1125887.82
Europe,Portugal,Office Supplies,Online,false,8/19/2015,956433522,8788,651.21,524.96,5722833.48
Europe,Macedonia,Beverages,Online,false,3/20/2011,107005393,4129,47.45,31.79,195921.05
Asia,China,Beverages,Offline,false,4/16/2013,332877862,4811,47.45,31.79,228281.95
Europe,Germany,Baby Food,Online,false,11/13/2015,618474757,9279,255.28,159.42,2368743.12
Europe,Ireland,Household,Online,false,01/10/14,468532407,8006,668.27,502.54,5350169.62
Europe,Poland,Office Supplies,Offline,false,04/09/15,358099639,8496,651.21,524.96,5532680.16
Sub-Saharan Africa,Namibia,Household,Online,false,01/07/13,382537782,285,668.27,502.54,190456.95
Asia,Uzbekistan,Personal Care,Offline,false,02/12/13,707520663,9942,81.73,56.67,812559.66
Sub-Saharan Africa,Zimbabwe,Meat,Online,false,11/28/2014,219034612,6064,421.89,364.69,2558340.96
Asia,Mongolia,Meat,Offline,false,01/03/15,573378455,4281,421.89,364.69,1806111.09
Europe,Norway,Personal Care,Online,false,02/03/11,347163522,2256,81.73,56.67,184382.88
Middle East and North Africa,Oman,Snacks,Offline,false,04/09/13,887313640,4679,152.58,97.44,713921.82
Europe,Serbia,Cosmetics,Online,false,7/26/2017,461065137,8275,437.2,263.33,3617830
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,false,4/15/2017,105966842,6798,9.33,6.92,63425.34
Europe,Bulgaria,Baby Food,Online,false,5/16/2014,479880082,6035,255.28,159.42,1540614.8
Asia,Brunei,Baby Food,Online,false,08/12/15,510978686,8803,255.28,159.42,2247229.84
Europe,Serbia,Snacks,Offline,false,9/20/2013,547748982,9951,152.58,97.44,1518323.58
Sub-Saharan Africa,Ghana,Cereal,Offline,false,10/31/2013,108989799,1358,205.7,117.11,279340.6
Sub-Saharan Africa,Malawi,Cereal,Offline,false,7/30/2014,133812463,6936,205.7,117.11,1426735.2
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,true,11/12/11,731640803,7627,9.33,6.92,71159.91
Europe,Cyprus,Snacks,Offline,true,3/25/2010,732211148,6405,152.58,97.44,977274.9
Central America and the Caribbean,Nicaragua,Cereal,Online,true,07/04/11,835572326,3274,205.7,117.11,673461.8
Europe,Estonia,Baby Food,Offline,true,01/01/11,462085664,271,255.28,159.42,69180.88
Europe,Estonia,Clothes,Online,true,6/16/2016,902424991,6463,109.28,35.84,706276.64
Europe,Lithuania,Fruits,Offline,true,12/17/2013,367576634,2949,9.33,6.92,27514.17
Sub-Saharan Africa,Republic of the Congo,Meat,Offline,true,03/01/17,738839423,7859,421.89,364.69,3315633.51
Europe,Czech Republic,Baby Food,Online,false,07/02/10,817824685,1353,255.28,159.42,345393.84
Sub-Saharan Africa,Cameroon,Snacks,Online,true,7/16/2013,376456248,624,152.58,97.44,95209.92
Asia,Vietnam,Office Supplies,Online,true,8/16/2016,606970441,4897,651.21,524.96,3188975.37
Europe,Moldova ,Meat,Offline,true,12/16/2014,971916091,424,421.89,364.69,178881.36
Middle East and North Africa,Bahrain,Office Supplies,Offline,true,5/14/2012,554154527,5494,651.21,524.96,3577747.74
Europe,Hungary,Household,Online,true,7/18/2017,306859576,5423,668.27,502.54,3624028.21
Australia and Oceania,Marshall Islands,Personal Care,Offline,true,07/09/17,803517568,7559,81.73,56.67,617797.07
Middle East and North Africa,Iraq,Office Supplies,Online,true,9/30/2011,887927329,6283,651.21,524.96,4091552.43
Europe,Albania,Vegetables,Online,false,11/24/2015,824200189,8006,154.06,90.93,1233404.36
Sub-Saharan Africa,Lesotho,Office Supplies,Online,false,8/14/2012,946759974,6170,651.21,524.96,4017965.7
Middle East and North Africa,Lebanon,Clothes,Offline,false,12/06/15,310343015,6249,109.28,35.84,682890.72
Europe,Hungary,Vegetables,Online,false,5/25/2014,739998137,748,154.06,90.93,115236.88
Asia,Japan,Beverages,Online,false,10/18/2012,981086671,4203,47.45,31.79,199432.35
Europe,Georgia,Office Supplies,Offline,false,3/13/2013,749282443,8180,651.21,524.96,5326897.8
Europe,Estonia,Office Supplies,Online,false,2/23/2011,280571782,6280,651.21,524.96,4089598.8
Europe,Luxembourg,Household,Online,false,8/15/2014,781253516,9131,668.27,502.54,6101973.37
Sub-Saharan Africa,Swaziland,Personal Care,Online,false,07/06/17,377938973,9396,81.73,56.67,767935.08
Europe,Romania,Clothes,Offline,false,12/31/2010,867551982,6765,109.28,35.84,739279.2
Sub-Saharan Africa,Ethiopia,Personal Care,Offline,false,1/13/2010,967328870,2964,81.73,56.67,242247.72
Sub-Saharan Africa,Chad,Office Supplies,Offline,false,9/17/2011,364818465,6746,651.21,524.96,4393062.66
Middle East and North Africa,Morocco,Office Supplies,Online,false,03/08/14,167882096,8898,651.21,524.96,5794466.58
North America,Mexico,Clothes,Online,false,11/18/2012,654693591,7237,109.28,35.84,790859.36
Sub-Saharan Africa,Nigeria,Personal Care,Offline,false,11/18/2011,823739278,1612,81.73,56.67,131748.76
Central America and the Caribbean,Trinidad and Tobago,Beverages,Offline,false,07/12/12,643817985,8904,47.45,31.79,422494.8
Europe,Moldova ,Personal Care,Offline,false,3/30/2017,604041039,8022,81.73,56.67,655638.06
Australia and Oceania,Solomon Islands,Personal Care,Online,false,7/26/2010,363832271,4909,81.73,56.67,401212.57
Asia,India,Personal Care,Online,false,12/24/2015,102928006,7539,81.73,56.67,616162.47
Sub-Saharan Africa,Burkina Faso,Office Supplies,Offline,false,5/15/2016,971377074,917,651.21,524.96,597159.57
Australia and Oceania,Kiribati,Meat,Online,false,11/03/10,139540803,2079,421.89,364.69,877109.31
Middle East and North Africa,Israel,Meat,Offline,false,12/01/10,248093020,5093,421.89,364.69,2148685.77
Sub-Saharan Africa,Comoros,Snacks,Offline,false,1/16/2014,858020055,6056,152.58,97.44,924024.48
Middle East and North Africa,Iran,Baby Food,Offline,false,12/11/14,700620734,8099,255.28,159.42,2067512.72
Asia,Vietnam,Cosmetics,Offline,false,12/24/2016,827506387,6384,437.2,263.33,2791084.8
Central America and the Caribbean,Belize,Household,Online,false,3/21/2013,560600841,3101,668.27,502.54,2072305.27
Europe,Belarus,Personal Care,Offline,false,12/08/12,642140424,2476,81.73,56.67,202363.48
North America,United States of America,Baby Food,Offline,true,2/13/2015,984673964,5763,255.28,159.42,1471178.64
Europe,Poland,Beverages,Online,true,3/28/2012,221062791,6247,47.45,31.79,296420.15
North America,Canada,Vegetables,Offline,true,10/07/16,654480731,4247,154.06,90.93,654292.82
Middle East and North Africa,Israel,Beverages,Offline,true,12/15/2011,608414113,2111,47.45,31.79,100166.95
Middle East and North Africa,Lebanon,Household,Online,true,03/08/16,276661765,9219,668.27,502.54,6160781.13
Europe,Andorra,Baby Food,Online,true,1/18/2011,373335015,6982,255.28,159.42,1782364.96
Europe,Slovakia,Clothes,Online,true,04/11/13,782857692,3843,109.28,35.84,419963.04
Sub-Saharan Africa,Liberia,Fruits,Online,true,5/18/2010,109966123,274,9.33,6.92,2556.42
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Offline,true,06/05/17,629709136,3782,205.7,117.11,777957.4
Asia,China,Personal Care,Online,true,09/11/12,637448060,3901,81.73,56.67,318828.73
Sub-Saharan Africa,Niger,Baby Food,Online,true,03/08/17,298856723,7200,255.28,159.42,1838016
Europe,United Kingdom,Household,Offline,true,1/28/2015,299921452,2278,668.27,502.54,1522319.06
Asia,Bangladesh,Personal Care,Offline,true,7/26/2010,496941077,4763,81.73,56.67,389279.99
Asia,Myanmar,Snacks,Online,true,6/24/2016,366526925,2317,152.58,97.44,353527.86
Australia and Oceania,Tonga,Meat,Offline,true,8/18/2012,355602824,9633,421.89,364.69,4064066.37
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,true,03/11/10,531405103,3434,154.06,90.93,529042.04
Australia and Oceania,Nauru,Vegetables,Offline,true,1/14/2010,131482589,7475,154.06,90.93,1151598.5
Sub-Saharan Africa,Swaziland,Cereal,Online,true,02/10/14,713696610,7542,205.7,117.11,1551389.4
Europe,Finland,Vegetables,Online,true,1/21/2014,306220996,6452,154.06,90.93,993995.12
Australia and Oceania,Papua New Guinea,Household,Offline,true,2/28/2010,157542073,9055,668.27,502.54,6051184.85
Sub-Saharan Africa,Mauritius ,Personal Care,Online,true,2/18/2015,686458671,7230,81.73,56.67,590907.9
Sub-Saharan Africa,Mozambique,Office Supplies,Online,true,6/14/2012,132082116,4888,651.21,524.96,3183114.48
Europe,Bulgaria,Clothes,Online,true,03/05/13,403836238,2972,109.28,35.84,324780.16
Europe,Spain,Household,Online,true,04/10/14,331457364,4455,668.27,502.54,2977142.85
Australia and Oceania,Vanuatu,Meat,Online,true,7/26/2017,614994323,9341,421.89,364.69,3940874.49
Europe,Belgium,Fruits,Offline,true,10/19/2010,674808442,9669,9.33,6.92,90211.77
Europe,Belgium,Baby Food,Offline,true,11/08/16,901573550,4503,255.28,159.42,1149525.84
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,true,3/31/2014,406275975,4944,109.28,35.84,540280.32
Sub-Saharan Africa,Togo,Vegetables,Online,true,8/18/2016,170214545,9121,154.06,90.93,1405181.26
Sub-Saharan Africa,Cote d'Ivoire,Personal Care,Offline,true,01/03/16,795000588,7196,81.73,56.67,588129.08
Sub-Saharan Africa,Republic of the Congo,Fruits,Offline,true,10/21/2016,252557933,6360,9.33,6.92,59338.8
Middle East and North Africa,Libya,Baby Food,Offline,true,12/10/16,635122907,5837,255.28,159.42,1490069.36
Australia and Oceania,East Timor,Vegetables,Online,true,08/12/11,505244338,1882,154.06,90.93,289940.92
Europe,Switzerland,Clothes,Offline,true,3/23/2012,745783555,2782,109.28,35.84,304016.96
Australia and Oceania,Palau,Snacks,Offline,true,4/27/2012,509914386,3853,152.58,97.44,587890.74
Middle East and North Africa,Jordan,Household,Online,true,1/29/2014,371123158,2445,668.27,502.54,1633920.15
Europe,Slovenia,Household,Online,false,12/13/2016,973208701,2936,668.27,502.54,1962040.72
Asia,South Korea,Baby Food,Online,true,11/21/2013,780282342,1739,255.28,159.42,443931.92
Europe,Norway,Clothes,Online,true,04/07/10,126767909,2296,109.28,35.84,250906.88
Middle East and North Africa,Afghanistan,Baby Food,Online,true,07/08/12,767401731,80,255.28,159.42,20422.4
Asia,Bangladesh,Personal Care,Online,true,10/15/2016,927232635,7597,81.73,56.67,620902.81
Sub-Saharan Africa,Guinea,Meat,Offline,true,9/18/2012,251621949,9381,421.89,364.69,3957750.09
Central America and the Caribbean,Cuba,Office Supplies,Offline,true,07/02/17,256243503,7002,651.21,524.96,4559772.42
Europe,Russia,Cosmetics,Offline,true,7/21/2011,277083623,4056,437.2,263.33,1773283.2
Sub-Saharan Africa,Seychelles ,Vegetables,Offline,false,06/01/10,620441138,1175,154.06,90.93,181020.5
Asia,South Korea,Office Supplies,Offline,false,7/26/2015,312927377,1020,651.21,524.96,664234.2
Sub-Saharan Africa,Ghana,Baby Food,Offline,false,08/06/10,251466166,3282,255.28,159.42,837828.96
Central America and the Caribbean,Costa Rica,Office Supplies,Online,false,6/20/2010,953293836,9685,651.21,524.96,6306968.85
Europe,Romania,Cereal,Online,false,04/08/12,305959212,8985,205.7,117.11,1848214.5
Europe,Czech Republic,Cereal,Online,false,2/27/2014,317323625,1967,205.7,117.11,404611.9
Europe,Liechtenstein,Household,Offline,false,7/25/2011,365560901,6449,668.27,502.54,4309673.23
Sub-Saharan Africa,Seychelles ,Baby Food,Online,false,2/18/2016,349157369,2279,255.28,159.42,581783.12
Middle East and North Africa,Somalia,Baby Food,Online,false,1/24/2014,236911857,6338,255.28,159.42,1617964.64
Australia and Oceania,Solomon Islands,Personal Care,Offline,false,05/10/15,517935693,7536,81.73,56.67,615917.28
Sub-Saharan Africa,Uganda,Clothes,Offline,false,2/13/2012,851652705,1816,109.28,35.84,198452.48
Sub-Saharan Africa,Equatorial Guinea,Cereal,Offline,false,09/07/12,517799222,7151,205.7,117.11,1470960.7
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,false,02/04/15,666424071,8547,651.21,524.96,5565891.87
Europe,Moldova ,Fruits,Offline,false,11/16/2010,267888581,3039,9.33,6.92,28353.87
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,false,7/20/2011,162866580,4695,154.06,90.93,723311.7
Central America and the Caribbean,Guatemala,Beverages,Offline,false,7/26/2014,812344396,9614,47.45,31.79,456184.3
Sub-Saharan Africa,Swaziland,Meat,Online,false,8/24/2014,947620856,924,421.89,364.69,389826.36
Asia,Maldives,Vegetables,Online,false,2/25/2015,720307290,3789,154.06,90.93,583733.34
Asia,Thailand,Household,Online,false,9/21/2016,352327525,399,668.27,502.54,266639.73
Sub-Saharan Africa,Sudan,Household,Online,false,6/28/2013,585917890,4979,668.27,502.54,3327316.33
Central America and the Caribbean,Costa Rica,Meat,Offline,false,01/05/12,433627212,8783,421.89,364.69,3705459.87
Europe,Denmark,Beverages,Online,false,05/01/12,328316819,5098,47.45,31.79,241900.1
Sub-Saharan Africa,Angola,Cereal,Offline,false,10/13/2011,773160541,4240,205.7,117.11,872168
Australia and Oceania,Papua New Guinea,Household,Online,false,4/27/2016,991644704,8559,668.27,502.54,5719722.93
Asia,North Korea,Meat,Online,false,1/19/2014,277568137,7435,421.89,364.69,3136752.15
Central America and the Caribbean,El Salvador,Fruits,Online,false,11/06/16,245042169,2278,9.33,6.92,21253.74
Sub-Saharan Africa,Burkina Faso,Household,Online,false,2/28/2011,778490626,1531,668.27,502.54,1023121.37
Middle East and North Africa,Yemen,Baby Food,Online,true,10/11/14,482649838,5668,255.28,159.42,1446927.04
Sub-Saharan Africa,Republic of the Congo,Beverages,Online,true,6/25/2012,732568633,2193,47.45,31.79,104057.85
Europe,Andorra,Household,Online,true,11/06/12,723608338,642,668.27,502.54,429029.34
Central America and the Caribbean,Dominican Republic,Household,Offline,true,2/24/2014,621442782,7584,668.27,502.54,5068159.68
Middle East and North Africa,Israel,Baby Food,Offline,true,9/19/2015,212058293,1616,255.28,159.42,412532.48
Australia and Oceania,Solomon Islands,Snacks,Offline,true,03/04/14,251753699,8369,152.58,97.44,1276942.02
Sub-Saharan Africa,Liberia,Fruits,Online,true,10/08/14,217140328,5503,9.33,6.92,51342.99
Sub-Saharan Africa,Mali,Vegetables,Online,false,6/19/2012,555142009,7712,154.06,90.93,1188110.72
Asia,Uzbekistan,Clothes,Online,true,11/11/10,432995069,1718,109.28,35.84,187743.04
